title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
"Precis vad jag behövde","Fungerar bra och känns praktisk.","5","2026-08-20","Mikael","","","balteslipmaskinen","",""
"Enkel och bra","Mycket enkel att använda. Jag är nöjd.","5","2026-08-20","Emma","","","balteslipmaskinen","",""
"Bra produkt","Gör det lättare att få knivarna vassa.","5","2026-08-20","Anders","","","balteslipmaskinen","",""
"Rekommenderas","Fungerar bra och är väldigt smidig.","5","2026-08-20","Linda","","","balteslipmaskinen","",""
"Smidig att använda","Lätt att använda och tar inte mycket plats.","5","2026-08-20","Sara","","","balteslipmaskinen","",""
"Nöjd","Jag är väldigt nöjd med slipmaskinen.","5","2026-08-20","Maria","","","balteslipmaskinen","",""
"Bra köp","En enkel maskin som fungerar som den ska.","5","2026-08-20","Johan","","","balteslipmaskinen","",""
"Mycket smidig","Liten och smidig. Gör jobbet snabbt.","5","2026-08-20","Lars","","","balteslipmaskinen","",""
"Fungerar fint","Bra för att slipa och polera hemma.","5","2026-08-20","Erik","","","balteslipmaskinen","",""
"Bra liten maskin","Fungerar bra och är enkel att använda.","5","2026-08-20","Anna","","","balteslipmaskinen","",""
