title,body,rating,review_date,source,curated,reviewer_name,reviewer_email,product_id,product_handle,reply,reply_date,picture_urls,ip_address,location,metaobject_handle
,"En ole vielä käyttänyt näitä, mutta ne toimivat varmasti hyvin siihen mitä olen puuhaamassa.",5,2026-04-30 06:17:13 UTC,shop-app,ok,Petri Virtanen,petri.virtanen@example.com,,majavasuppilo-tankkaa-nopeasti-ilman-roiskumista,,,,,,
,"En ole vielä käyttänyt näitä, mutta ne toimivat varmasti hyvin siihen mitä olen puuhaamassa.",5,2026-04-30 06:17:51 UTC,shop-app,ok,Petri Virtanen,petri.virtanen@example.com,,majavasuppilo-tankkaa-nopeasti-ilman-roiskumista,,,,,,
,Toimii tosi hyvin siihen mitä teen,5,2026-04-30 06:18:30 UTC,shop-app,ok,Petri Virtanen,petri.virtanen@example.com,,majavasuppilo-tankkaa-nopeasti-ilman-roiskumista,,,,,,
Ihanaa varjoa altaan päälle,"Pingotin sen altaan yläpuolelle, niin lapset eivät enää polta itseään.",5,2026-06-10 06:31:40 UTC,wizard,ok,Pekka Korhonen,pekka.korhonen@example.com,,kolmion-muotoinen-aurinkopurje-uv-suoja-puutarhaan-terassille,,,,,,
Täydellinen varjo,Vihdoin voi istua ulkona keskellä päivää paahtumatta. Todella tyytyväinen.,5,2026-06-18 07:14:22 UTC,wizard,ok,Anne Mäkinen,anne.makinen@example.com,,kolmion-muotoinen-aurinkopurje-uv-suoja-puutarhaan-terassille,,,,,,
Nätti ja käytännöllinen,Khakin väri sopii hyvin pihaan. Näyttää kalliimmalta kuin oli.,4,2026-06-08 17:20:11 UTC,wizard,ok,Sari Nieminen,sari.nieminen@example.com,,kolmion-muotoinen-aurinkopurje-uv-suoja-puutarhaan-terassille,,,,,,
Hyvä laatu,Kangas tuntuu tukevalta ja saumat ovat siistit. Kestää varmasti pitkään.,5,2026-06-12 10:03:55 UTC,wizard,ok,Marja Mäkelä,marja.makela@example.com,,kolmion-muotoinen-aurinkopurje-uv-suoja-puutarhaan-terassille,,,,,,
Helppo pystyttää,"Narut tulivat mukana, ja se oli pystyssä kymmenessä minuutissa. Tosi helppoa.",5,2026-06-15 15:42:10 UTC,wizard,ok,Juha Hämäläinen,juha.hamalainen@example.com,,kolmion-muotoinen-aurinkopurje-uv-suoja-puutarhaan-terassille,,,,,,
Pitää kuumuuden loitolla,Purjeen alla on selvästi viileämpää. Heijastaa auringon hyvin.,5,2026-06-05 12:55:30 UTC,wizard,ok,Erkki Laine,erkki.laine@example.com,,kolmion-muotoinen-aurinkopurje-uv-suoja-puutarhaan-terassille,,,,,,
Tyytyväinen,Hyvä tuote hintaansa nähden. Toimii juuri niin kuin on kuvattu.,4,2026-06-03 08:12:48 UTC,wizard,ok,Leena Heikkinen,leena.heikkinen@example.com,,kolmion-muotoinen-aurinkopurje-uv-suoja-puutarhaan-terassille,,,,,,
