title,body,rating,review_date,source,curated,reviewer_name,reviewer_email,product_id,product_handle,reply,reply_date,picture_urls,ip_address,location,metaobject_handle
A papá le encantó,Se la pasó hablando de él varios días después.,5,2025-12-01 07:15:00 UTC,wizard,ok,Sara J.,sara.j@gmail.com,15513203048772,golf-grill-kit,,,https://media.discordapp.net/attachments/1487892936598491226/1488557167823818822/image.png?ex=69cd3664&is=69cbe4e4&hm=5e1ea84009bc5c318214da40b72926d649c3c82c690ac10f04d2ec2183334391&=&format=webp&quality=lossless,,,review-001afaaa-0501-4f9e-ad21-d6981048e4d1
¡El regalo perfecto!,Mi esposo quedó totalmente sorprendido. ¡Lo vuelvo a comprar!,5,2025-12-14 08:22:00 UTC,wizard,ok,Jessica L.,jessica.l@gmail.com,15513203048772,golf-grill-kit,"¡Gracias, Jessica!",2026-03-31 15:18:37 UTC,https://media.discordapp.net/attachments/1487892936598491226/1488557405204779099/image.png?ex=69cd369d&is=69cbe51d&hm=7cebcaddde2b82afbbd4dbd2dfd5b0921024409743eaef5eac0fbbdfb78f0a4a&=&format=webp&quality=lossless,,,review-bfb4ecc1-1774-4ba5-9710-d43b3412238a
Calidad muy buena,Las herramientas se sienten sólidas y el estuche es un detalle divertido.,5,2025-11-28 12:05:00 UTC,wizard,ok,Marcos E.,marcus.e@hotmail.com,15513203048772,golf-grill-kit,,,https://media.discordapp.net/attachments/1487892936598491226/1488555472259649676/Skarmbild_2026-03-31_170732.png?ex=69cd34d0&is=69cbe350&hm=80e02941ba82aa393a84c9ba0b0a36d7e229535ca5fafb2b5d408aff3451396c&=&format=webp&quality=lossless&width=204&height=350,,,review-24d1e735-5d5b-4f0f-8881-010a183f53c1
"Bien, pero la entrega tardó","Contento con el producto, pero tuve que esperar un poco más de lo esperado.",4,2025-10-19 16:30:00 UTC,wizard,ok,Andrés B.,anders.b@telia.com,15513203048772,golf-grill-kit,"¡Gracias por tu comentario, estamos trabajando en ello!",2026-03-31 15:18:37 UTC,,,,review-1a2d5cd3-ce87-418b-9858-b7ced97c9115
Buena idea,Lo compré para mí. Todos comentan la bolsa de golf cuando estoy asando.,5,2025-11-05 10:44:00 UTC,wizard,ok,Tomás N.,thomas.n@outlook.com,15513203048772,golf-grill-kit,,,,,,review-c2657d2e-0b8d-4a84-a615-d4e9b54a67ff
Entrega rápida,Llegó rápido y se ve igualito que en la foto. ¡Contenta!,5,2025-12-20 14:00:00 UTC,wizard,ok,Elena M.,lena.m@gmail.com,15513203048772,golf-grill-kit,,,,,,review-b74de3fa-0a40-43fb-b645-024eac1fcdd6
Lo compré de regalo de Navidad,¡Le dio muchísimo gusto! El empaque también está muy bonito.,5,2025-12-23 15:30:00 UTC,wizard,ok,Mariana H.,maja.h@gmail.com,15513203048772,golf-grill-kit,,,,,,review-61b689cb-06b2-46af-b047-ada3fdb9d30a
Le atiné,No sabía qué regalarle a mi hermano — esto fue perfecto.,5,2026-01-03 09:10:00 UTC,wizard,ok,Emma K.,emma.k@gmail.com,15513203048772,golf-grill-kit,,,,,,review-82e6f228-127b-48d6-89dc-2cdcc19bbd11
Buenas herramientas para el asador,Funciona como debe y se ve bonito. Recomendado.,4,2026-01-15 07:55:00 UTC,wizard,ok,Pedro S.,peter.s@yahoo.com,15513203048772,golf-grill-kit,,,,,,review-ebea8098-fe65-4d84-adfd-cfdaeea65a50
Está bien,Las herramientas están bien pero el cepillo podría ser más firme.,3,2026-02-10 11:20:00 UTC,wizard,ok,Juan R.,johan.r@hotmail.com,15513203048772,golf-grill-kit,"¡Gracias por tus comentarios, Juan, lo tomamos en cuenta!",2026-03-31 15:18:57 UTC,,,,review-6a509e4a-8f5c-4d6c-8db9-0fb1b9c18b11
