title,body,rating,review_date,source,curated,reviewer_name,reviewer_email,product_id,product_handle,reply,reply_date,picture_urls,ip_address,location,metaobject_handle
,"Har ikke brukt disse ennå, men de kommer til å fungere bra til det jeg holder på med.",5,2026-04-30 06:17:13 UTC,shop-app,ok,Peter Nyberg,peternyberg215@gmail.com,,bevertrakt-fyll-drivstoff-raskt-uten-sol,,,,,,shop-2519111-300757182-e2d0b035-0598-4848-a0f3-3040ae1d3474
,"Har ikke brukt disse ennå, men de kommer til å fungere bra til det jeg holder på med.",5,2026-04-30 06:17:51 UTC,shop-app,ok,Peter Nyberg,peternyberg215@gmail.com,,bevertrakt-fyll-drivstoff-raskt-uten-sol,,,,,,shop-2519111-300757263-73ade1fc-05dc-4648-a4f3-e4bf1d3859eb
,Fungerer kjempebra til det jeg gjør,5,2026-04-30 06:18:30 UTC,shop-app,ok,Peter Nyberg,peternyberg215@gmail.com,,bevertrakt-fyll-drivstoff-raskt-uten-sol,,,,,,shop-2519111-300757323-5817ecb7-5f5d-486f-b5e2-70445f8f9dad
Deilig skygge over bassenget,"Spente det opp over bassenget, så barna slipper å brenne seg nå.",5,2026-06-10 06:31:40 UTC,wizard,ok,Peter Nilsen,odhneraxel@gmail.com,,trekantet-solseil-uv-beskyttelse-for-hage-uteplass,,,,,,review-90cbaf84-6ac4-4507-ad17-fdc6f25e4c76
Perfekt skygge,Kan endelig sitte ute midt på dagen uten å steke. Kjempefornøyd.,5,2026-06-18 07:14:22 UTC,wizard,ok,Anna Lindberg,odhneraxel@gmail.com,,trekantet-solseil-uv-beskyttelse-for-hage-uteplass,,,,,,review-9d0a0f84-8093-48ed-ba1f-edc18c6edf47
Pent og praktisk,Khakifargen passer fint i hagen. Ser dyrere ut enn det var.,4,2026-06-08 17:20:11 UTC,wizard,ok,Sara Johansen,odhneraxel@gmail.com,,trekantet-solseil-uv-beskyttelse-for-hage-uteplass,,,,,,review-c70aafa6-a243-4ef3-8a4b-151d5ecccfc9
God kvalitet,Stoffet føles solid og sømmene er fine. Holder nok lenge.,5,2026-06-12 10:03:55 UTC,wizard,ok,Maria Karlsen,odhneraxel@gmail.com,,trekantet-solseil-uv-beskyttelse-for-hage-uteplass,,,,,,review-0ae5d782-d7a4-4ea5-a9e6-b9f06b9cf261
Lett å sette opp,"Tau fulgte med, og det var oppe på ti minutter. Veldig enkelt.",5,2026-06-15 15:42:10 UTC,wizard,ok,Johan Eriksen,odhneraxel@gmail.com,,trekantet-solseil-uv-beskyttelse-for-hage-uteplass,,,,,,review-f10d5aff-7fbd-40d0-9f34-5fcba255c183
Holder varmen borte,Merkbart svalere under seilet. Reflekterer solen godt.,5,2026-06-05 12:55:30 UTC,wizard,ok,Erik Andersen,odhneraxel@gmail.com,,trekantet-solseil-uv-beskyttelse-for-hage-uteplass,,,,,,review-5de75281-d47a-464f-aefe-47b22adb03fd
Fornøyd,Godt produkt for pengene. Fungerer akkurat som beskrevet.,4,2026-06-03 08:12:48 UTC,wizard,ok,Lena Olsen,odhneraxel@gmail.com,,trekantet-solseil-uv-beskyttelse-for-hage-uteplass,,,,,,review-c7846fbe-4399-4c3d-9e1f-d1f3705da78a
Litt mørkere farge,"Fargen var litt mørkere enn på bildet, men fortsatt fin.",3,2026-05-27 11:50:42 UTC,wizard,ok,Daniel Gustavsen,odhneraxel@gmail.com,,trekantet-solseil-uv-beskyttelse-for-hage-uteplass,,,,,,review-853643b2-c56c-4781-ad9a-a3faf9be216f
Godt kjøp,"Kjøpte den større størrelsen, og den dekker hele terrassen. Supert.",5,2026-05-29 09:27:19 UTC,wizard,ok,Camilla Svendsen,odhneraxel@gmail.com,,trekantet-solseil-uv-beskyttelse-for-hage-uteplass,,,,,,review-1ed597b3-18ef-4f03-a45b-2ba9cb0c17a0
Anbefales,"Sømmene er godt laget, og den beskytter mot både sol og regn.",5,2026-06-01 14:40:05 UTC,wizard,ok,Mikael Persen,odhneraxel@gmail.com,,trekantet-solseil-uv-beskyttelse-for-hage-uteplass,,,,,,review-c2135162-4c30-4e7d-b46f-55b44e715de4
Mye for pengene,God pris og god kvalitet. Ble levert raskt også.,4,2026-05-16 10:48:55 UTC,wizard,ok,Fredrik Berg,odhneraxel@gmail.com,,trekantet-solseil-uv-beskyttelse-for-hage-uteplass,,,,,,review-3ab2d81c-2104-4ba2-b071-0fff8ace1a43
