title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
Morsomt og enkelt spill,Et enkelt og morsomt spill som hele familien kan spille.,5,2026-08-20 10:00:00 UTC,Anne Karlsen,anne.karlsen+bevnof1caea@example.com,,kryss-og-bolle-i-tre-klassikeren-som-ligger-fremme,,
Fint på bordet,Kjempefint trespill som faktisk kan ligge fremme.,5,2026-08-21 10:00:00 UTC,Johan Andersen,johan.andersen+bevno7eb2ec@example.com,,kryss-og-bolle-i-tre-klassikeren-som-ligger-fremme,,
Perfekt for familien,"Barna liker det, og vi voksne spiller også. Veldig enkelt.",5,2026-08-22 10:00:00 UTC,Marit Nilsen,marit.nilsen+bevno68f709@example.com,,kryss-og-bolle-i-tre-klassikeren-som-ligger-fremme,,
Bra kvalitet,Fint tre og føles stabilt. Et hyggelig lite spill.,5,2026-08-23 10:00:00 UTC,Erik Johansen,erik.johansen+bevno7551fd@example.com,,kryss-og-bolle-i-tre-klassikeren-som-ligger-fremme,,
Morsomt tidsfordriv,Et klassisk spill som er lett å komme i gang med.,5,2026-08-24 10:00:00 UTC,Sara Larsen,sara.larsen+bevno75b427@example.com,,kryss-og-bolle-i-tre-klassikeren-som-ligger-fremme,,
Akkurat som jeg håpet,"Fint, enkelt og passe stort. Vi bruker det ofte.",5,2026-08-25 10:00:00 UTC,Lars Svendsen,lars.svendsen+bevno98e90e@example.com,,kryss-og-bolle-i-tre-klassikeren-som-ligger-fremme,,
Fin gave,"Kjøpte det som gave, og det ble veldig godt mottatt.",5,2026-08-26 10:00:00 UTC,Emma Lindberg,emma.lindberg+bevno200a41@example.com,,kryss-og-bolle-i-tre-klassikeren-som-ligger-fremme,,
Enkelt og morsomt,Morsomt spill for både barn og voksne. Anbefales.,5,2026-08-27 10:00:00 UTC,Anders Berg,anders.berg+bevno2fb9db@example.com,,kryss-og-bolle-i-tre-klassikeren-som-ligger-fremme,,
Bra kjøp,Fint spill som er lett å ta frem når man vil spille en stund.,5,2026-08-28 10:00:00 UTC,Kari Pedersen,kari.pedersen+bevno5bfb24@example.com,,kryss-og-bolle-i-tre-klassikeren-som-ligger-fremme,,
Familiefavoritt,Vi har spilt flere ganger allerede. Veldig enkelt og morsomt.,5,2026-08-29 10:00:00 UTC,Mikkel Olsen,mikkel.olsen+bevno250ded@example.com,,kryss-og-bolle-i-tre-klassikeren-som-ligger-fremme,,
