title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
Bra trekk,Enkelt å bruke og dekker motorsykkelen godt.,5,2026-08-01 10:00:00 UTC,Anne Larsen,anne.larsen+bevno4c05a8@example.com,,mc-trekk-220-120-regn-stov-uv,,
Fungerer bra,Lett å dra over og beskytter godt mot regn.,5,2026-07-30 10:00:00 UTC,Johan Nilsen,johan.nilsen+bevnocffd1c@example.com,,mc-trekk-220-120-regn-stov-uv,,
Praktisk,Bra størrelse og enkelt å ta av og på.,5,2026-07-28 10:00:00 UTC,Emma Karlsen,emma.karlsen+bevno8dc26d@example.com,,mc-trekk-220-120-regn-stov-uv,,
Veldig fornøyd,Trekket sitter godt og er lett å bruke.,5,2026-07-26 10:00:00 UTC,Mikkel Andersen,mikkel.andersen+bevno293c5b@example.com,,mc-trekk-220-120-regn-stov-uv,,
Bra beskyttelse,Beskytter motorsykkelen mot regn og støv. Fornøyd.,5,2026-07-24 10:00:00 UTC,Sara Johansen,sara.johansen+bevno85df9c@example.com,,mc-trekk-220-120-regn-stov-uv,,
Enkelt og bra,Akkurat det jeg trengte til motorsykkelen.,5,2026-07-22 10:00:00 UTC,Petter Svendsen,petter.svendsen+bevno8795e8@example.com,,mc-trekk-220-120-regn-stov-uv,,
Anbefales,Lett materiale og raskt å sette på.,5,2026-07-20 10:00:00 UTC,Linda Berg,linda.berg+bevnoa1a7a6@example.com,,mc-trekk-220-120-regn-stov-uv,,
Bra kjøp,Trekket passer godt og føles praktisk.,5,2026-07-18 10:00:00 UTC,Daniel Lindstrøm,daniel.lindstrom+bevno3b8189@example.com,,mc-trekk-220-120-regn-stov-uv,,
Praktisk trekk,Tar liten plass når det er brettet sammen. Bra produkt.,5,2026-07-16 10:00:00 UTC,Marit Eriksen,marit.eriksen+bevno320cea@example.com,,mc-trekk-220-120-regn-stov-uv,,
Fornøyd,Beskytter sykkelen godt når den står ute.,5,2026-07-14 10:00:00 UTC,Andreas Holm,andreas.holm+bevno3c1c2f@example.com,,mc-trekk-220-120-regn-stov-uv,,
