title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
Bra lampe,Kjempebra lampe! Lyser sterkt og fungerer fint.,5,2026-07-15 05:54:08 UTC,Anne Marie,anne.marie+bevno292d7b@example.com,,solcellelampe-med-bevegelsessensor-tre-hoder-210-led,,
Bra lampe,"Enkel å montere, og den lyser godt om kvelden.",5,,Johan Lindberg,johan.lindberg+bevno4ff2fb@example.com,,solcellelampe-med-bevegelsessensor-tre-hoder-210-led,,
Bra lampe,Fungerer som den skal. Veldig fornøyd.,5,,Sofie Nilsen,sofie.nilsen+bevnod1ed4d@example.com,,solcellelampe-med-bevegelsessensor-tre-hoder-210-led,,
Bra lampe,Godt lys og praktisk bevegelsessensor.,5,,Anders Karlsen,anders.karlsen+bevnoac1ad2@example.com,,solcellelampe-med-bevegelsessensor-tre-hoder-210-led,,
Bra lampe,Perfekt ved innkjørselen. Lyser godt opp.,5,,Emma Johansen,emma.johansen+bevno00a03b@example.com,,solcellelampe-med-bevegelsessensor-tre-hoder-210-led,,
Bra lampe,"Lett å sette opp, og godt lys.",5,,Lars Svendsen,lars.svendsen+bevno8d3efb@example.com,,solcellelampe-med-bevegelsessensor-tre-hoder-210-led,,
Bra lampe,Veldig fornøyd med lampen. Anbefales.,5,,Kari Eriksen,kari.eriksen+bevno24beaa@example.com,,solcellelampe-med-bevegelsessensor-tre-hoder-210-led,,
Bra lampe,Bra lampe til uteplassen. Lyser fint.,5,,Petter Andersen,petter.andersen+bevno2e65e7@example.com,,solcellelampe-med-bevegelsessensor-tre-hoder-210-led,,
Bra lampe,Fungerer bra og er enkel å bruke.,5,,Linda Berg,linda.berg+bevnoa2e99a@example.com,,solcellelampe-med-bevegelsessensor-tre-hoder-210-led,,
Bra lampe,Bra kvalitet og sterkt lys.,5,,Mikkel Larsen,mikkel.larsen+bevno8c97a8@example.com,,solcellelampe-med-bevegelsessensor-tre-hoder-210-led,,
